annotator1,annotator2
service,calendar,Taxes for 2015
service,calendar,Clear out small garden bed
buy,calendar,Get more dirt
service,calendar,plant more plants
buy,buy,Go get dirt from lowes
buy,buy,Go get plants at Tilth Sale
email,contact,email daniel about strawberries
service,calendar,clean bathroom
school-work,calendar,Read Modules 1-4
school-work,calendar,syllabus quiz
school-work,calendar,HW 1
school-work,calendar,Quiz
service,calendar,Set up org file for garden
service,calendar,finish mowing
service,calendar,clean up woodpile
service,calendar,household - setup vlc @ term on doctor
service,calendar,household - water plants
buy,calendar,Buy container mix
buy,calendar,paper for the upstairs desk
buy,buy,order a meditation cushion
service,calendar,Install Quicksilver and experiment
service,calendar,Take out the dog
service,calendar,Wash the dishes
service,calendar,Clean the carpet
find-service,calendar,Get the oil change
service,calendar,Go pick up my son from school
self-improve,calendar,Practice Mandarin Chinese
service,calendar,Clean the litter box
buy,calendar,Rent a carpet cleaning machine
find-service,calendar,Install my new sink
buy,buy,Tuscon: buy cannister fuel
buy,buy,Tuscon: buy two 1L smartwater bottles
self-improve,calendar,learn guyline knots/technique
service,calendar,set up tent
service,calendar,test sleep system
find-travel,buy,make travel arrangements to Lordsburg
find-travel,buy,make travel arrangements from Albuquerque
plan-meal,search,identify 4-6 dinner recipes
plan-meal,buy,buy ingredients
plan-meal,calendar,test cook recipes
plan-meal,calendar,package food
service,calendar,assemble first aid kit
service,calendar,assemble toiletries kit
service,calendar,assemble repair kit
buy,buy,buy stuff sacks/pack backpack
service,calendar,make windscreen and pot cozy
pay-bill-online,pay-bill-online,pay ATT
pay-bill-online,pay-bill-online,pay comed
pay-bill-online,pay-bill-online,pay mortgage
pay-bill-online,pay-bill-online,pay student loan
call,calendar,update address-ATT
service,calendar,reconcile bank statement
buy,buy,choose front door fixture
call,calendar,call amazon about kindle
find-service,search,find new insurance agent
find-service,calendar,annual physical
service,calendar,clean closet
buy,buy,buy flower girl headbands
buy,buy,buy bridal party gifts
buy,buy,get wedding insurance
find-travel,buy,book honeymoon
find-service,calendar,Please work on an e-visa with the Cambodian embassy in Vietnam.   I want to consider making you the admin person in our NGO paperwork.
service,calendar,Upload photos to gmail
find-service,calendar,Apply to Southxchange
email,contact,"Contact people to look for money in Myanmar (Ben, Thieu)"
buy,calendar,Remember the Milk
email,contact,Email people affected by timezone bug
find-service,calendar,Identify office/place for me to live
call,contact,"Call Phil Smith, Mark Fukuda"
email,contact,Email/Call Dan Strickman
find-service,calendar,fix coffee pot dispenser
buy,search,research cell phone plans
buy,buy,get suit for Boston
postal,calendar,send info to credit bureau
school-work,calendar,write nutrition paper
contact,calendar,book babysitter
calendar,calendar,Schedule appointments with site managers
find-service,buy,Hire wedding consultant
calendar,buy,"Place order for wedding cake (and groom's cake, if desired)"
find-service,buy,Book officiant
calendar,calendar,Set a meeting with officiant to go through and confirm the details
contact,contact,Contact local town clerk's office to arrange marriage license
buy,buy,Get marriage license
calendar,calendar,"Schedule rehearsal with officiant, all family members, bridesmaids, best men, wedding planner (if applicable) and other participants."
calendar,calendar,Assign maid of honor / one attendant to arrange train and/or veil at altar
contact,contact,Share contact numbers with at 2 people
service,calendar,Assemble emergency supply kit for wedding day and find a place to keep it
buy,buy,Purchase/make pillow for ring bearer
buy,buy,Purchase birdseed/bubbles/rose petals for guests to shower you with as you leave ceremony site (this custom could instead be performed as you depart from the reception)
contact,calendar,"Confirm with your rental company all details, times, and sites where items must be delivered/picked up"
contact,calendar,Ask caterer/coordinator to have top teir of wedding cake packed up for you (to save for first anniversary)
contact,calendar,Ask caterer/coordinator to have cake topper packed up for you.
calendar,calendar,Schedule sitting for engagement portrait
find-travel,buy,Make your hotel reservation for wedding night
contact,contact,"Send hotel and transportation information to out-of-town guests, include directions from local airorts and cities from which many guests will be arriving by car, information (description, location, phone number) and any code or name that must be mentioned to receive discounted rate when making room reservations"
calendar,calendar,Schedule appointments at bridal salons
calendar,calendar,Make appointments for gown fittings
contact,contact,Inquire as to what you need to bring to fittings
contact,contact,Discuss bustle style of train with seamstress
find-service,calendar,Have shoes dyed to match gown
find-service,buy,Find professional dry cleaner who specialized in bridal gown care to clean and pack up dress andaccessories after wedding
buy,buy,Buy garter
buy,buy,Buy earrings
buy,buy,buy necklace
buy,buy,Buy other jewelry
buy,buy,Buy hair accessories
buy,buy,Buy purse
buy,buy,Buy wrap
buy,buy,Buy gloves
buy,buy,Buy going-away outfit
buy,buy,Buy rehearsal dinner outfit
buy,buy,Order stationery items
buy,buy,Buy special postage stamps for invitation envelopes and response envelopes
plan-meal,calendar,Plan menu
postal,send,Send invitations
contact,calendar,Tally final guest count with site manager/caterer
service,calendar,organize closets
plan-meal,search,find healthy baking recipes
plan-meal,calendar,start meal planning for the week
calendar,calendar,go over budget with Matt
contact,calendar,request permit for signage
contact,calendar,request permit for aframe
pay-bill-online,calendar,get bills on autopay
service,calendar,fix website
postal,calendar,pick up mail at post office
find-service,calendar,transfer internet
buy,calendar,get keys made
buy,calendar,subscription to safari library online
find-service,buy,sound proofing for office
find-service,buy,repair laundry room floor
contact,calendar,Contact student orgs regarding Storyteller Rotation
contact,calendar,Followup with World Renew
call,contact,Call Greg Sims back
buy,calendar,Business cards
contact,contact,"Contact Stella's staff on interest for ""Stella's Super Mario Party"""
print,calendar,Print Gen. Giveaway
contact,calendar,Reach out to Seattle restaurant coalition orgs
contact,calendar,Followup with National NPOs
call,calendar,"Call a ""townhall meeting"" at GRBC and personally invite all past/current owners to give input."
print,calendar,Print/have fedex cut 300 giveaways
contact,calendar,Followup with Jenny at KFB about the restaurants' promo request form
school-work,calendar,Apply for Grad. Student assistance from UM
contact,calendar,Ask KFB for list of restaurants they have worked with in the past.
find-service,calendar,Hire content writer
call,contact,Debrief Constantly \u2013 Call Brooke and discuss how HHCT III went
postal,send,"Send Abby her shirt at                247 W 15th St. Holland, MI 49423"
contact,calendar,Ask IC to recommend us to ILG
contact,calendar,Invite restaurants (and NPOs) to Patagonia event next week
contact,contact,Outreach to 10 restaurants
contact,calendar,Speak to your first restaurant
calendar,calendar,Schedule one tabling event
postal,calendar,Send shirts to our Inner Circlers
buy,calendar,Pre-order from NPO in another state
email,calendar,"write appt emails (BV, UIX, AD mtg, GVSU)"
email,contact,coffeeshop emails
contact,calendar,Arrange print run: giveaway cards
contact,calendar,Followup with GR restaurants
contact,calendar,Press Followups
email,contact,Donate/send 5000 email
postal,send,Mail nonprofit checks to Kyle!!!!!
service,calendar,Iron shirts for Flat lander's
contact,contact,Connect with KFB/FAWM/ACT over checks
contact,calendar,Local Restuarant followup
contact,calendar,Contact Mars Hill about HQ and marketing
contact,calendar,Followup with Local Restaurants
print,calendar,print general giveaways for David
service,calendar,Ironing shirts for staff
contact,calendar,Ann Arbor followups
contact,calendar,Followup with restaurant invoices
call,contact,Call John McCain's team
buy,calendar,order new checks
call,contact,call lesko clients
call,contact,call city of somerville and genki tenants
find-service,calendar,seek new investment ideas
find-service,calendar,repair roof
contact,contact,send note to cindy regarding dance studio taxes
call,calendar,call exterminators
pay-bill-online,calendar,pay rent
postal,calendar,send info to appraiser
pay-bill-online,pay-bill-online,pay NY tax bill
contact,calendar,send updated financials to Armand
find-travel,search,look at airbnbs in binghamton
pay-bill-online,calendar,pay plumber
pay-bill-online,calendar,pay roofer
buy,buy,order gpa mount
contact,calendar,change address at bank
contact,calendar,cancel renters insurance with AAA
buy,buy,Buy mirror for upstairs bathroom
postal,calendar,Mail change of address at DMV
calendar,calendar,Pick up moving truck at 5:30pm Friday
call,contact,Call to shut off water
call,contact,Call to shut off gas
call,contact,Call to find out about moving truck
service,calendar,Vacuum hardwoods & couch
buy,calendar,Pick up more boxes
contact,calendar,Cancel Comcast Internet
pay-bill-online,pay-bill-online,Pay SF Parking Ticket. :(
service,calendar,Pack kitchen
service,calendar,Pack spare room
pay-bill-online,pay-bill-online,Pay water bill
pay-bill-online,calendar,Pay PG&E
pay-bill-online,calendar,Pay Expression
service,calendar,Wash Mazda
buy,search,Research bathroom mirrors online
pay-bill-online,calendar,Pay DMV for Harley before May
buy,calendar,Sign up for pottery
find-service,search,Home security research
self-improve,calendar,Sign up for Spanish
calendar,calendar,Appointment with capital women's care
contact,contact,Talk to few lawyers
calendar,calendar,Apple appointment
find-travel,buy,Kansas City tickets
find-travel,calendar,Book a car - dec 13-17
find-travel,buy,Buy Nicaragua tickets
find-service,buy,Find a photographer/marriage counselor in Hawaii
contact,contact,talk to Mike
calendar,calendar,schedule DHPP shot
service,calendar,mop floors
service,calendar,clean bathroom
pay-bill-online,pay-bill-online,pay bills
service,calendar,clean kitchen
call,contact,call grandmom
find-travel,buy,get return flight
service,calendar,move the pee pad
buy,buy,replace shoes
service,calendar,glue pumpkin
service,calendar,sweep
call,contact,call health care thing
call,contact,call dad re: moving boxes
